fon,borsa_kodu,isin_kod
ACTUS PORTFÖY 2020 YATIRIM DÖNEMLİ DEĞİŞKEN FON,ACY,TRYACTU00035
ACTUS PORTFÖY BORÇLANMA ARAÇLARI FONU,ACO,TRYACTU00019
ACTUS PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ACC,TRYACTU00027
ACTUS PORTFÖY HİTİT SERBEST FON,ACZ,TRYACTU00043
ACTUS PORTFÖY LİDYA SERBEST (DÖVİZ) FON,ACN,TRYACTU00076
ACTUS PORTFÖY URARTU SERBEST (DÖVİZ) FON,ACU,TRYACTU00084
AK PORT.ÖZEL SEK.BORÇ.ARÇ.YAT.YAPAN%114 ANAPARA KOR.AMÇ.YİRMİDOKUZUNCU FON,PUO,TRYAKPO00526
AK PORTFÖY  %100 ANAPARA KORUMA AMAÇLI YİRMİİKİNCİ FON,ADJ,TRYAKPO00369
AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,AFA,TRYAKBK00458
AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,AFV,TRYAKBK00466
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI 18. FON,AJS,TRYAKPO00336
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI 19. FON,AJD,TRYAKPO00328
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI ONALTINCI FON,AJO,TRYAKPO00278
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI ONBEŞİNCİ FON,AUI,TRYAKPO00252
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI ONYEDİNCİ FON,AIL,TRYAKPO00294
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI YİRMİBİRİNCİ FON,ACJ,TRYAKPO00377
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI YİRMİNCİ FON,AKJ,TRYAKPO00344
AK PORTFÖY %100 ANAPARA KORUMA AMAÇLI YİRMİÜÇÜNCÜ FON,ARJ,TRYAKPO00401
AK PORTFÖY %110 ANAPARA KORUMA AMAÇLI YİRMİDÖRDÜNCÜ FON,AUU,TRYAKPO00419
AK PORTFÖY %115 ANAPARA KORUMA AMAÇLI OTUZBİRİNCİ FON,PZR,TRYAKPO00559
AK PORTFÖY AGI DEĞİŞKEN FON,AGC,TRYAKPO00468
AK PORTFÖY AK SANDIK SERBEST ÖZEL FON,SSO,TRYAKPO00286
AK PORTFÖY AKY SERBEST (DÖVİZ) ÖZEL FON,PUD,TRYAKPO00518
AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU,ANL,TRMAN2WWWWW2
AK PORTFÖY ALTIN FONU,AFO,TRYAKBK00052
AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,PAL,TRYAKPO00708
AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON,AJL,TRYAKPO00583
AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,ABU,TRYAKBK00813
AK PORTFÖY BİRİNCİ FON SEPETİ FONU,ARL,TRYAKPO00062
AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),AKU,TRMAKUWWWWW5
AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ADP,TRMADFWWWWW1
AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ALC,TRYAKBK00946
AK PORTFÖY DEĞİŞKEN FON,ADE,TRMADEWWWWW4
AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,APJ,TRYAKPO00351
AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,AJN,TRYAKPO00591
AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,AKE,TRYAKBK00318
AK PORTFÖY GELİŞEN ÜLKELER YABANCI  HİSSE SENEDİ FONU,AFS,TRYAKBK00482
AK PORTFÖY HERAKLES SERBEST (DÖVİZ) ÖZEL FON,HVV,TRYAKPO00740
AK PORTFÖY HERAKLES SERBEST ÖZEL FON,HYY,TRYAKPO00757
AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),AK3,TRMAK3WWWWW3
AK PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATINUM DEĞİŞKEN ÖZEL FON,PAI,TRYAKPO00716
AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,AVT,TRMAK1WWWWW7
AK PORTFÖY KIYI SERBEST ÖZEL FON,GGC,TRYAKPO00831
AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,AIS,TRYAKBK00847
AK PORTFÖY MİMKA SERBEST ÖZEL FON,AIM,TRYAKPO00302
AK PORTFÖY MİSTRAL SERBEST(DÖVİZ) ÖZEL FON,PAP,TRYAKPO00690
AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,APT,TRYAKBK00060
AK PORTFÖY P1 SERBEST ÖZEL FON,APP,TRYAKPO00138
AK PORTFÖY PARA PIYASASI FONU,ALE,TRYAKBK00870
AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,AES,TRYAKBK00441
AK PORTFÖY PRUVA SERBEST (DÖVİZ) ÖZEL FON,PUV,TRYAKPO00542
AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU,AZF,TRYAKBK01050
AK PORTFÖY RTH SERBEST ÖZEL FON,AIH,TRYAKPO00310
AK PORTFÖY SERBEST ( DÖVİZ ) FONU,AVZ,TRYAKPO00260
AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,AK2,TRMAK2WWWWW5
AK PORTFÖY YABANCI HİSSE SENEDİ FONU,AOY,TRYAKBK00029
AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,AFT,TRYAKBK00144
AK PORTFÖY ÖPY ALTINCI SERBEST ÖZEL FON,OPZ,TRYAKPO00823
AK PORTFÖY ÖPY BEŞİNCİ SERBEST ÖZEL FON,PUT,TRYAKPO00575
AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,ARP,TRYAKPO00104
AK PORTFÖY ÖPY DÖRDÜNCÜ SERBEST ÖZEL FON,PUR,TRYAKPO00534
AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,AZZ,TRYAKPO00203
AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST ÖZEL FON,ABS,TRYAKBK00268
AK PORTFÖY ÖPY ÜÇÜNCÜ SERBEST ÖZEL FON,PUC,TRYAKPO00476
AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON,ARF,TRYAKPO00039
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,AYR,TRYAKBK00722
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN % 105 ANAPARA KORUMA AMAÇLI OTUZDOKUZUNCU FON,BFF,TRYAKPO00773
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN % 105 ANAPARA KORUMA AMAÇLI OTUZSEKİZİNCİ FON,BOA,TRYAKPO00765
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %100 ANAPARA KORUMA AMAÇLI KIRKBİRİNCİ FON,OGZ,TRYAKPO00815
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %100 ANAPARA KORUMA AMAÇLI KIRKINCI FON,OYG,TRYAKPO00807
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %100 ANAPARA KORUMA AMAÇLI KIRKÜÇÜNCÜ FON,ZVK,TRYAKPO00849
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %100 ANAPARA KORUMA AMAÇLI KIRKİKİNCİ FON,ZKF,TRYAKPO00856
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %105 ANAPARA KORUMA AMAÇLI OTUZALTINCI FON,AOO,TRYAKPO00732
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %105 ANAPARA KORUMA AMAÇLI OTUZYEDİNCİ FON,OAA,TRYAKPO00724
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %110 ANAPARA KORUMA AMAÇLI OTUZBEŞİNCİ FON,OYY,TRYAKPO00674
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %110 ANAPARA KORUMA AMAÇLI OTUZDÖRDÜNCÜ FON,OKA,TRYAKPO00682
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %110 ANAPARA KORUMA AMAÇLI OTUZÜÇÜNCÜ FON,KOF,TRYAKPO00609
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %110 ANAPARA KORUMA AMAÇLI OTUZİKİNCİ FON,KAO,TRYAKPO00617
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %115 ANAPARA KORUMA AMAÇLI YİRMİSEKİZİNCİ FON,PUS,TRYAKPO00500
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %115 ANAPARA KORUMA AMAÇLI YİRMİYEDİNCİ FON,PUY,TRYAKPO00492
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %120 ANA PARA KORUMA AMAÇLI YİRMİALTINCI FON,AMJ,TRYAKPO00427
AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %120 ANA PARA KORUMA AMAÇLI YİRMİBEŞİNCİ FON,AMV,TRYAKPO00435
AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,ODV,TRYAKPO00237
AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,BGP,TRYAKPO00625
AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,AJE,TRYAKPO00393
AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON,AJK,TRYAKPO00385
AK PORTFÖY İKİNCİ DEĞİŞKEN FON,ALD,TRYAKBK00953
AK PORTFÖY İKİNCİ FON SEPETİ FONU,ARM,TRYAKPO00054
AKPORTFÖY %115 ANAPARA KORUMA AMAÇLI OTUZUNCU FON,PZO,TRYAKPO00567
AKTİF YATIRIM BANKASI A.Ş. 2 NOLU EMEK VARLIK FİNANSMAN FONU,AVI,TRYAKYB00038
AKTİF YATIRIM BANKASI A.Ş. 3 NO'LU TURKCELL VARLIK FİNANSMAN FONU,AJJ,TRYAKYB00129
AKTİF YATIRIM BANKASI A.Ş. 4 NOLU EMEK VARLIK FİNANSMAN FONU,AFR,TRYAKYB00061
